19,14-Oct-09,Flying Monkey Arts Center,"Pile, Margin Walker",Huntsville,Wednesday,Live Music
21,16-Oct-09,Flying Monkey Arts Center,"Electric Veltens",Huntsville,Friday,Live Music
0,25-Sep-09,Furniture Factory,Live Music,Huntsville,Friday,Live Music
1,26-Sep-09,Furniture Factory,Live Music,Huntsville,Saturday,Live Music
5,30-Sep-09,Furniture Factory,Live Music,Huntsville,Wednesday,Live Music
7,2-Oct-09,Furniture Factory,Chad Bradford Band,Huntsville,Friday,Live Music
8,3-Oct-09,Furniture Factory,Rob Aldridge,Huntsville,Saturday,Live Music
12,7-Oct-09,Furniture Factory,Son of Sanchez,Huntsvill Saturda,,
14,9-Oct-09,Furniture Factory,Live Music,Huntsville,Friday,Live Music
15,10-Oct-09,Furniture Factory,Rob Aldridge,Huntsville,Saturday,Live Music
19,14-Oct-09,Furniture Factory,Chad Bradford Duo,HuntsvillSaturda,,
21,16-Oct-09,Furniture Factory,"Chuck Rutenberg, Christina Lynn & Russ",Huntsville,Friday,Live Music
0,25-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
3,28-Sep-09,Geno's Pub (Decatur),Karaoke,Decatur,Monday,Karaoke
7,2-Oct-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
10,5-Oct-09,Geno's Pub (Decatur),Karaoke,Decatur,Monday,Karaoke
14,9-Oct-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
17,12-Oct-09,Geno's Pub (Decatur),Karaoke,Decatur,Monday,Live Music
21,16-Oct-09,Geno's Pub (Decatur),Karaoke,Decatur,Friday,Karaoke
-1,24-Sep-09,Glass's Cocktails & Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
0,25-Sep-09,Glass's Cocktails & Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
1,26-Sep-09,Glass's Cocktails & Grill (Decatur),Two Days Gone,Decatur,Saturday,Live Music
3,28-Sep-09,Glass's Cocktails & Grill (Decatur),Karaoke w/DJ Jeff,Decatur,Monday,Karaoke
4,29-Sep-09,Glass's Cocktails & Grill (Decatur),Wild Ride,Decatur,Tuesday,Live Music
5,30-Sep-09,Glass's Cocktails & Grill (Decatur),Karaoke w/Louis,Decatur,Wednesday,Karaoke
6,1-Oct-09,Glass's Cocktails & Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
7,2-Oct-09,Glass's Cocktails & Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
8,3-Oct-09,Glass's Cocktails & Grill (Decatur),Stop the Car,Decatur,Saturday,Live Music
10,5-Oct-09,Glass's Cocktails & Grill (Decatur),Karaoke,Decatur,Monday,Karaoke
11,6-Oct-09,Glass's Cocktails & Grill (Decatur),MayDay,Decatur,Tuesday,Live Music
12,7-Oct-09,Glass's Cocktails & Grill (Decatur),Karaoke,Decatur,Wednesday,Karaoke
13,8-Oct-09,Glass's Cocktails & Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
14,9-Oct-09,Glass's Cocktails & Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
15,10-Oct-09,Glass's Cocktails & Grill (Decatur),Two Days Gone,Decatur,Saturday,Live Music
17,12-Oct-09,Glass's Cocktails & Grill (Decatur),Karaoke w/DJ Jeff,Decatur,Monday,Karaoke
18,13-Oct-09,Glass's Cocktails & Grill (Decatur),Wild Ride,Decatur,Tuesday,Live Music
19,14-Oct-09,Glass's Cocktails & Grill (Decatur),Karaoke w/Louis,Decatur,Wednesday,Karaoke
20,15-Oct-09,Glass's Cocktails & Grill (Decatur),Chad Reeves,Decatur,Thursday,Live Music
21,16-Oct-09,Glass's Cocktails & Grill (Decatur),Rodeo Truckers,Decatur,Friday,Live Music
22,17-Oct-09,Glass's Cocktails & Grill (Decatur),Stop the Car,Decatur,Saturday,Live Music
-1,24-Sep-09,Half Time Bar & Grill,Karaoke w/Jimbo,Huntsville,Thursday,Karaoke
6,1-Oct-09,Half Time Bar & Grill,Karaoke w/Larry,Huntsville,Thursday,Karaoke
13,8-Oct-09,Half Time Bar & Grill,Karaoke w/Jimbo,Huntsville,Thursday,Karaoke
20,15-Oct-09,Half Time Bar & Grill,Karaoke w/Larry,Huntsville,Thursday,Karaoke
0,25-Sep-09,Hard Dock Cafe (Decatur),Crush,Decatur,Friday,Live Music
1,26-Sep-09,Hard Dock Cafe (Decatur),Legrange,Decatur,Saturday,Live Music
7,2-Oct-09,Hard Dock Cafe (Decatur),Proton Joe,Decatur,Friday,Live Music
8,3-Oct-09,Hard Dock Cafe (Decatur),Hot Rod Otis,Decatur,Saturday,Live Music
14,9-Oct-09,Hard Dock Cafe (Decatur),Kozmic Mama,Decatur,Friday,Live Music
15,10-Oct-09,Hard Dock Cafe (Decatur),Live Music,Decatur,Saturday,Live Music
21,16-Oct-09,Hard Dock Cafe (Decatur),The Breakers,Decatur,Friday,Live Music
22,17-Oct-09,Hard Dock Cafe (Decatur),Group 6,Decatur,Saturday,Live Music
-1,24-Sep-09,Hog Wild Saloon,Karaoke w/ David (8pm-1am),Huntsville,Thursday,Live Music
0,25-Sep-09,Hog Wild Saloon,Chad Bradford,Huntsville,Friday,Live Music
1,26-Sep-09,Hog Wild Saloon,Chad Bradford,Huntsville,Saturday,Live Music
5,30-Sep-09,Hog Wild Saloon,Karaoke w/ David (8pm-1am),Huntsville,Wednesday,Live Music
6,1-Oct-09,Hog Wild Saloon,Bonefied,Huntsville,Friday,Live Music
7,2-Oct-09,Hog Wild Saloon,Bonefied,Huntsville,Saturday,Live Music
12,7-Oct-09,Hog Wild Saloon,Karaoke w/ David (8pm-1am),Huntsville,Friday,Live Music
13,8-Oct-09,Hog Wild Saloon,Karaoke w/ David (8pm-1am),Huntsville,Saturday,Live Music
14,9-Oct-09,Hog Wild Saloon,Bonafied,Huntsville,Sunday,Live Music
15,10-Oct-09,Hog Wild Saloon,Bonafied,Huntsville,Monday,Live Music
19,14-Oct-09,Hog Wild Saloon,Karaoke w/ David (8pm-1am),Huntsville,Wednesday,Live Music
20,15-Oct-09,Hog Wild Saloon,Karaoke w/ David (8pm-1am),Huntsville,Thursday,Live Music
21,16-Oct-09,Hog Wild Saloon,Bonefied,Huntsville,Friday,Live Music
22,17-Oct-09,Hog Wild Saloon,Bonefied,Huntsville,Saturday,Live Music
-1,24-Sep-09,Hooters,Bike Night w/ Hot Rod Otis,Huntsville,Thursday,Live Music
6,1-Oct-09,Hooters,Bike Night w/ JD and The Bad Boys,Huntsville,Thursday,Live Music
13,8-Oct-09,Hooters,Bike Night w/ Fat Momma,Huntsville,Thursday,Live Music
20,15-Oct-09,Hooters,Bike Night w/ The Breakers formerly the Crawlers,Huntsville,Thursday,Live Music
0,25-Sep-09,Hopper's,Peter and the Wolf (8:30),Huntsville,Friday,Live Music
1,26-Sep-09,Hopper's,Peter and the Wolf (8:30),Huntsville,Saturday,Live Music
